21:20:01.663 | InvertedPendulum.py:204 | INFO | Episode:5550, Average Reward:747
21:20:42.439 | InvertedPendulum.py:204 | INFO | Episode:5600, Average Reward:731
21:21:25.042 | InvertedPendulum.py:204 | INFO | Episode:5650, Average Reward:750
21:22:04.925 | InvertedPendulum.py:204 | INFO | Episode:5700, Average Reward:697
21:22:35.309 | InvertedPendulum.py:204 | INFO | Episode:5750, Average Reward:554
21:23:14.952 | InvertedPendulum.py:204 | INFO | Episode:5800, Average Reward:676
21:23:55.518 | InvertedPendulum.py:204 | INFO | Episode:5850, Average Reward:750
21:24:32.352 | InvertedPendulum.py:204 | INFO | Episode:5900, Average Reward:646
21:25:13.350 | InvertedPendulum.py:204 | INFO | Episode:5950, Average Reward:724
21:25:57.330 | InvertedPendulum.py:204 | INFO | Episode:6000, Average Reward:774
21:26:42.025 | InvertedPendulum.py:204 | INFO | Episode:6050, Average Reward:793
21:27:24.662 | InvertedPendulum.py:204 | INFO | Episode:6100, Average Reward:767
21:28:10.299 | InvertedPendulum.py:204 | INFO | Episode:6150, Average Reward:806
21:29:00.681 | InvertedPendulum.py:204 | INFO | Episode:6200, Average Reward:877
21:29:46.923 | InvertedPendulum.py:204 | INFO | Episode:6250, Average Reward:828
21:30:31.891 | InvertedPendulum.py:204 | INFO | Episode:6300, Average Reward:778
21:31:16.495 | InvertedPendulum.py:204 | INFO | Episode:6350, Average Reward:794
21:32:06.368 | InvertedPendulum.py:204 | INFO | Episode:6400, Average Reward:854
21:33:00.603 | InvertedPendulum.py:204 | INFO | Episode:6450, Average Reward:883
21:33:53.890 | InvertedPendulum.py:204 | INFO | Episode:6500, Average Reward:865
21:34:49.107 | InvertedPendulum.py:204 | INFO | Episode:6550, Average Reward:934
21:35:38.412 | InvertedPendulum.py:204 | INFO | Episode:6600, Average Reward:863
21:36:27.466 | InvertedPendulum.py:204 | INFO | Episode:6650, Average Reward:849
21:37:17.291 | InvertedPendulum.py:204 | INFO | Episode:6700, Average Reward:883
21:38:08.268 | InvertedPendulum.py:204 | INFO | Episode:6750, Average Reward:870
21:39:01.517 | InvertedPendulum.py:204 | INFO | Episode:6800, Average Reward:924
21:39:45.809 | InvertedPendulum.py:204 | INFO | Episode:6850, Average Reward:795
21:40:32.229 | InvertedPendulum.py:204 | INFO | Episode:6900, Average Reward:830
21:41:16.195 | InvertedPendulum.py:204 | INFO | Episode:6950, Average Reward:831
21:41:45.468 | InvertedPendulum.py:207 | INFO | training finished at episode 6979, average reward: 955
