11:57:59.567 | InvertedPendulum.py:213 | INFO | Episode:5550, Average Reward:545
11:58:07.168 | InvertedPendulum.py:213 | INFO | Episode:5600, Average Reward:544
11:58:15.417 | InvertedPendulum.py:213 | INFO | Episode:5650, Average Reward:609
11:58:23.246 | InvertedPendulum.py:213 | INFO | Episode:5700, Average Reward:606
11:58:30.154 | InvertedPendulum.py:213 | INFO | Episode:5750, Average Reward:522
11:58:38.766 | InvertedPendulum.py:213 | INFO | Episode:5800, Average Reward:591
11:58:46.772 | InvertedPendulum.py:213 | INFO | Episode:5850, Average Reward:565
11:58:58.007 | InvertedPendulum.py:213 | INFO | Episode:5900, Average Reward:775
11:59:07.784 | InvertedPendulum.py:213 | INFO | Episode:5950, Average Reward:693
11:59:15.499 | InvertedPendulum.py:213 | INFO | Episode:6000, Average Reward:578
11:59:25.219 | InvertedPendulum.py:213 | INFO | Episode:6050, Average Reward:663
11:59:33.020 | InvertedPendulum.py:213 | INFO | Episode:6100, Average Reward:527
11:59:43.222 | InvertedPendulum.py:213 | INFO | Episode:6150, Average Reward:721
11:59:53.787 | InvertedPendulum.py:213 | INFO | Episode:6200, Average Reward:740
12:00:05.090 | InvertedPendulum.py:213 | INFO | Episode:6250, Average Reward:823
12:00:16.604 | InvertedPendulum.py:213 | INFO | Episode:6300, Average Reward:844
12:00:29.224 | InvertedPendulum.py:213 | INFO | Episode:6350, Average Reward:834
12:00:42.094 | InvertedPendulum.py:213 | INFO | Episode:6400, Average Reward:915
12:00:55.058 | InvertedPendulum.py:213 | INFO | Episode:6450, Average Reward:902
12:01:07.109 | InvertedPendulum.py:213 | INFO | Episode:6500, Average Reward:867
12:01:19.985 | InvertedPendulum.py:213 | INFO | Episode:6550, Average Reward:890
12:01:33.494 | InvertedPendulum.py:213 | INFO | Episode:6600, Average Reward:897
12:01:45.095 | InvertedPendulum.py:216 | INFO | training finished at episode 6643, average reward: 953
